record,year,entry,range,plot,column,block,pblock,pop,entry99,dla1,dla2,dla3,logitdla1,logitdla2,logitdla3,dla1p,dla2p,dla3p,rowqlt,dta
3006,1,201,9,65,7,4,18,27,27,10,20,35,-0.954242509,-0.602059991,-0.268845312,0.1,0.2,0.35,4,82
3007,1,125,9,67,7,1,10,10,125,20,30,35,-0.602059991,-0.367976785,-0.268845312,0.2,0.3,0.35,4,85
3008,1,109,9,69,7,1,10,10,109,25,35,45,-0.477121255,-0.268845312,-0.087150176,0.25,0.35,0.45,4,81
3009,1,56,9,70,7,1,10,10,56,15,25,35,-0.753327667,-0.477121255,-0.268845312,0.15,0.25,0.35,4,92
3010,1,197,9,71,8,1,10,10,197,20,30,25,-0.602059991,-0.367976785,-0.477121255,0.2,0.3,0.25,4,88
3011,1,155,9,73,8,1,10,10,155,25,35,30,-0.477121255,-0.268845312,-0.367976785,0.25,0.35,0.3,4,81
3012,1,201,9,76,8,1,10,27,27,20,25,25,-0.602059991,-0.477121255,-0.477121255,0.2,0.25,0.25,4,82
3013,1,40,9,77,8,1,10,10,40,25,30,35,-0.477121255,-0.367976785,-0.268845312,0.25,0.3,0.35,4,80
3014,1,133,9,78,8,2,10,10,133,15,25,25,-0.753327667,-0.477121255,-0.477121255,0.15,0.25,0.25,4,84
3015,1,144,9,80,8,2,10,10,144,20,20,25,-0.602059991,-0.602059991,-0.477121255,0.2,0.2,0.25,4,84
3016,1,79,9,84,9,2,10,10,79,20,35,40,-0.602059991,-0.268845312,-0.176091259,0.2,0.35,0.4,4,82
3017,1,44,9,89,9,3,10,10,44,10,15,15,-0.954242509,-0.753327667,-0.753327667,0.1,0.15,0.15,4,86
3018,1,118,9,90,9,3,10,10,118,10,15,15,-0.954242509,-0.753327667,-0.753327667,0.1,0.15,0.15,4,79
3019,1,150,9,91,10,3,10,10,150,15,25,30,-0.753327667,-0.477121255,-0.367976785,0.15,0.25,0.3,4,82
3020,1,202,9,93,10,3,10,27,10,15,20,25,-0.753327667,-0.602059991,-0.477121255,0.15,0.2,0.25,4,77
3021,1,83,9,95,10,3,10,10,83,10,20,20,-0.954242509,-0.602059991,-0.602059991,0.1,0.2,0.2,4,79
3022,1,142,10,15,2,2,3,3,142,5,1,10,-1.278753601,-1.995635195,-0.954242509,0.05,0.01,0.1,4,82
3023,1,202,10,19,2,2,3,27,3,1,1,20,-1.995635195,-1.995635195,-0.602059991,0.01,0.01,0.2,4,99
3024,1,104,10,21,3,2,3,3,104,1,1,15,-1.995635195,-1.995635195,-0.753327667,0.01,0.01,0.15,4,89
3025,1,70,10,30,3,3,3,3,70,1,5,25,-1.995635195,-1.278753601,-0.477121255,0.01,0.05,0.25,4,81
3026,1,54,10,36,4,6,18,18,54,10,15,20,-0.954242509,-0.753327667,-0.602059991,0.1,0.15,0.2,4,82
3027,1,53,10,38,4,6,18,18,53,10,20,25,-0.954242509,-0.602059991,-0.477121255,0.1,0.2,0.25,4,82
3028,1,202,10,40,4,6,18,27,18,5,10,15,-1.278753601,-0.954242509,-0.753327667,0.05,0.1,0.15,4,90
3029,1,177,10,48,5,5,18,18,177,10,15,10,-0.954242509,-0.753327667,-0.954242509,0.1,0.15,0.1,4,84
3030,1,191,10,51,6,5,18,18,191,10,15,30,-0.954242509,-0.753327667,-0.367976785,0.1,0.15,0.3,4,83
3031,1,148,10,53,6,5,18,18,148,5,5,10,-1.278753601,-1.278753601,-0.954242509,0.05,0.05,0.1,4,81
3032,1,43,10,57,6,4,18,18,43,10,20,15,-0.954242509,-0.602059991,-0.753327667,0.1,0.2,0.15,4,93
3033,1,172,10,58,6,4,18,18,172,15,25,25,-0.753327667,-0.477121255,-0.477121255,0.15,0.25,0.25,4,84
3034,1,87,10,64,7,4,18,18,87,10,20,15,-0.954242509,-0.602059991,-0.753327667,0.1,0.2,0.15,4,84
3035,1,177,10,68,7,1,10,10,177,30,35,40,-0.367976785,-0.268845312,-0.176091259,0.3,0.35,0.4,4,83
3036,1,183,10,71,8,1,10,10,183,30,35,40,-0.367976785,-0.268845312,-0.176091259,0.3,0.35,0.4,4,81
3037,1,100,10,72,8,1,10,10,100,15,20,30,-0.753327667,-0.602059991,-0.367976785,0.15,0.2,0.3,4,78
3038,1,132,10,73,8,1,10,10,132,30,25,35,-0.367976785,-0.477121255,-0.268845312,0.3,0.25,0.35,4,79
3039,1,43,10,74,8,1,10,10,43,20,20,25,-0.602059991,-0.602059991,-0.477121255,0.2,0.2,0.25,4,82
3040,1,62,10,75,8,1,10,10,62,20,20,30,-0.602059991,-0.602059991,-0.367976785,0.2,0.2,0.3,4,78
3041,1,90,10,76,8,1,10,10,90,20,15,30,-0.602059991,-0.753327667,-0.367976785,0.2,0.15,0.3,4,82
3042,1,32,10,81,9,2,10,10,32,25,35,40,-0.477121255,-0.268845312,-0.176091259,0.25,0.35,0.4,4,77
3043,1,161,10,82,9,2,10,10,161,20,25,30,-0.602059991,-0.477121255,-0.367976785,0.2,0.25,0.3,4,84
3044,1,131,10,90,9,3,10,10,131,20,25,40,-0.602059991,-0.477121255,-0.176091259,0.2,0.25,0.4,4,81
3045,1,91,10,93,10,3,10,10,91,25,25,40,-0.477121255,-0.477121255,-0.176091259,0.25,0.25,0.4,4,79
3046,1,24,10,94,10,3,10,10,24,20,25,40,-0.602059991,-0.477121255,-0.176091259,0.2,0.25,0.4,4,82
3047,1,9,11,3,1,6,3,3,9,1,1,5,-1.995635195,-1.995635195,-1.278753601,0.01,0.01,0.05,4,79
3048,1,14,11,8,1,6,3,3,14,25,25,45,-0.477121255,-0.477121255,-0.087150176,0.25,0.25,0.45,4,82
3049,1,16,11,10,1,6,3,3,16,5,5,25,-1.278753601,-1.278753601,-0.477121255,0.05,0.05,0.25,4,87
3050,1,202,11,11,2,6,3,27,3,1,1,5,-1.995635195,-1.995635195,-1.278753601,0.01,0.01,0.05,4,99
3051,1,202,11,12,2,5,3,27,3,0,0,5,-2.298853076,-2.298853076,-1.278753601,0.005,0.005,0.05,4,99
3052,1,201,11,18,2,5,3,27,27,15,15,40,-0.753327667,-0.753327667,-0.176091259,0.15,0.15,0.4,4,80
3053,1,11,11,19,2,5,3,3,11,5,5,30,-1.278753601,-1.278753601,-0.367976785,0.05,0.05,0.3,4,80
3054,1,8,11,20,2,5,3,3,8,15,20,30,-0.753327667,-0.602059991,-0.367976785,0.15,0.2,0.3,4,82
3055,1,140,11,21,3,5,3,3,140,10,10,15,-0.954242509,-0.954242509,-0.753327667,0.1,0.1,0.15,4,86
3056,1,107,11,22,3,5,3,3,107,5,10,25,-1.278753601,-0.954242509,-0.477121255,0.05,0.1,0.25,4,79
3057,1,147,11,24,3,4,3,3,147,5,5,20,-1.278753601,-1.278753601,-0.602059991,0.05,0.05,0.2,4,79
3058,1,147,11,43,5,1,18,18,147,5,10,15,-1.278753601,-0.954242509,-0.753327667,0.05,0.1,0.15,4,85
3059,1,11,11,46,5,2,18,18,11,5,5,15,-1.278753601,-1.278753601,-0.753327667,0.05,0.05,0.15,4,88
3060,1,202,11,47,5,2,18,27,18,5,10,15,-1.278753601,-0.954242509,-0.753327667,0.05,0.1,0.15,4,93
3061,1,24,11,53,6,2,18,18,24,10,20,20,-0.954242509,-0.602059991,-0.602059991,0.1,0.2,0.2,4,84
3062,1,25,11,54,6,2,18,18,25,10,25,25,-0.954242509,-0.477121255,-0.477121255,0.1,0.25,0.25,4,86
3063,1,153,11,55,6,2,18,18,153,10,15,25,-0.954242509,-0.753327667,-0.477121255,0.1,0.15,0.25,4,81
3064,1,201,11,59,6,3,18,27,27,15,20,30,-0.753327667,-0.602059991,-0.367976785,0.15,0.2,0.3,4,77
3065,1,5,11,61,7,3,18,18,5,10,20,25,-0.954242509,-0.602059991,-0.477121255,0.1,0.2,0.25,4,85
3066,1,118,11,63,7,3,18,18,118,10,15,20,-0.954242509,-0.753327667,-0.602059991,0.1,0.15,0.2,4,84
3067,1,47,11,68,7,6,10,10,47,25,20,35,-0.477121255,-0.602059991,-0.268845312,0.25,0.2,0.35,4,81
3068,1,50,11,70,7,6,10,10,50,20,20,30,-0.602059991,-0.602059991,-0.367976785,0.2,0.2,0.3,4,84
3069,1,38,11,79,8,5,10,10,38,15,25,30,-0.753327667,-0.477121255,-0.367976785,0.15,0.25,0.3,4,81
3070,1,20,11,80,8,5,10,10,20,20,25,35,-0.602059991,-0.477121255,-0.268845312,0.2,0.25,0.35,4,82
3071,1,73,11,86,9,5,10,10,73,10,15,30,-0.954242509,-0.753327667,-0.367976785,0.1,0.15,0.3,4,79
3072,1,188,11,89,9,4,10,10,188,15,25,30,-0.753327667,-0.477121255,-0.367976785,0.15,0.25,0.3,4,82
3073,1,201,11,91,10,4,10,27,27,10,20,40,-0.954242509,-0.602059991,-0.176091259,0.1,0.2,0.4,4,82
3074,1,86,12,1,1,6,3,3,86,1,1,5,-1.995635195,-1.995635195,-1.278753601,0.01,0.01,0.05,4,81
3075,1,132,12,2,1,6,3,3,132,0,1,10,-2.298853076,-1.995635195,-0.954242509,0.005,0.01,0.1,4,82
3076,1,131,12,3,1,6,3,3,131,5,1,10,-1.278753601,-1.995635195,-0.954242509,0.05,0.01,0.1,4,85
3077,1,201,12,5,1,6,3,27,27,5,10,30,-1.278753601,-0.954242509,-0.367976785,0.05,0.1,0.3,4,78
3078,1,65,12,7,1,6,3,3,65,10,NA,30,-0.954242509,NA,-0.367976785,0.1,NA,0.3,4,81
3079,1,114,12,21,3,5,3,3,114,5,10,25,-1.278753601,-0.954242509,-0.477121255,0.05,0.1,0.25,4,82
3080,1,29,12,25,3,4,3,3,29,1,5,25,-1.995635195,-1.278753601,-0.477121255,0.01,0.05,0.25,4,82
3081,1,202,12,35,4,1,18,27,18,10,10,15,-0.954242509,-0.954242509,-0.753327667,0.1,0.1,0.15,4,92
3082,1,106,12,40,4,1,18,18,106,15,10,25,-0.753327667,-0.954242509,-0.477121255,0.15,0.1,0.25,4,79
3083,1,102,12,44,5,1,18,18,102,10,20,25,-0.954242509,-0.602059991,-0.477121255,0.1,0.2,0.25,4,83
3084,1,155,12,52,6,2,18,18,155,10,20,30,-0.954242509,-0.602059991,-0.367976785,0.1,0.2,0.3,4,81
3085,1,81,12,53,6,2,18,18,81,5,5,20,-1.278753601,-1.278753601,-0.602059991,0.05,0.05,0.2,4,89
3086,1,182,12,59,6,3,18,18,182,10,15,25,-0.954242509,-0.753327667,-0.477121255,0.1,0.15,0.25,4,87
3087,1,47,12,65,7,3,18,18,47,10,20,20,-0.954242509,-0.602059991,-0.602059991,0.1,0.2,0.2,4,88
3088,1,187,12,67,7,6,10,10,187,30,30,50,-0.367976785,-0.367976785,0,0.3,0.3,0.5,4,79
3089,1,168,12,68,7,6,10,10,168,25,30,45,-0.477121255,-0.367976785,-0.087150176,0.25,0.3,0.45,4,78
3090,1,46,12,69,7,6,10,10,46,20,25,30,-0.602059991,-0.477121255,-0.367976785,0.2,0.25,0.3,4,82
3091,1,51,12,71,8,6,10,10,51,15,30,30,-0.753327667,-0.367976785,-0.367976785,0.15,0.3,0.3,4,82
3092,1,192,12,73,8,6,10,10,192,20,25,35,-0.602059991,-0.477121255,-0.268845312,0.2,0.25,0.35,4,84
3093,1,10,12,75,8,6,10,10,10,25,25,40,-0.477121255,-0.477121255,-0.176091259,0.25,0.25,0.4,4,80
3094,1,52,12,81,9,5,10,10,52,15,25,45,-0.753327667,-0.477121255,-0.087150176,0.15,0.25,0.45,4,84
3095,1,25,12,84,9,5,10,10,25,25,40,50,-0.477121255,-0.176091259,0,0.25,0.4,0.5,4,78
3096,1,48,12,91,10,4,10,10,48,20,25,40,-0.602059991,-0.477121255,-0.176091259,0.2,0.25,0.4,4,78
3097,1,86,12,92,10,4,10,10,86,15,15,35,-0.753327667,-0.753327667,-0.268845312,0.15,0.15,0.35,4,76
3098,1,129,13,5,1,1,5,5,129,10,5,30,-0.954242509,-1.278753601,-0.367976785,0.1,0.05,0.3,4,81
3099,1,63,13,6,1,1,5,5,63,0,1,5,-2.298853076,-1.995635195,-1.278753601,0.005,0.01,0.05,4,80
3100,1,194,13,16,2,2,5,5,194,10,10,25,-0.954242509,-0.954242509,-0.477121255,0.1,0.1,0.25,4,77
3101,1,113,13,18,2,2,5,5,113,10,15,30,-0.954242509,-0.753327667,-0.367976785,0.1,0.15,0.3,4,80
3102,1,189,13,26,3,3,5,5,189,5,5,10,-1.278753601,-1.278753601,-0.954242509,0.05,0.05,0.1,4,84
3103,1,159,13,28,3,3,5,5,159,1,5,10,-1.995635195,-1.278753601,-0.954242509,0.01,0.05,0.1,4,84
3104,1,113,13,30,3,3,5,5,113,10,10,25,-0.954242509,-0.954242509,-0.477121255,0.1,0.1,0.25,4,80
3105,1,191,13,43,5,6,22,22,191,10,25,30,-0.954242509,-0.477121255,-0.367976785,0.1,0.25,0.3,4,79
3106,1,140,13,45,5,5,22,22,140,10,15,20,-0.954242509,-0.753327667,-0.602059991,0.1,0.15,0.2,4,76
3107,1,201,13,47,5,5,22,27,27,10,15,40,-0.954242509,-0.753327667,-0.176091259,0.1,0.15,0.4,4,76
3108,1,82,13,48,5,5,22,22,82,15,30,45,-0.753327667,-0.367976785,-0.087150176,0.15,0.3,0.45,4,76
3109,1,186,13,49,5,5,22,22,186,5,10,20,-1.278753601,-0.954242509,-0.602059991,0.05,0.1,0.2,4,75
3110,1,62,13,56,6,4,22,22,62,10,15,25,-0.954242509,-0.753327667,-0.477121255,0.1,0.15,0.25,4,77
3111,1,170,13,60,6,4,22,22,170,20,25,30,-0.602059991,-0.477121255,-0.367976785,0.2,0.25,0.3,4,77
3112,1,83,13,63,7,4,22,22,83,10,25,35,-0.954242509,-0.477121255,-0.268845312,0.1,0.25,0.35,4,75
3113,1,4,13,64,7,4,22,22,4,10,15,20,-0.954242509,-0.753327667,-0.602059991,0.1,0.15,0.2,4,NA
3114,1,92,13,65,7,4,22,22,92,15,20,25,-0.753327667,-0.602059991,-0.477121255,0.15,0.2,0.25,4,83
3115,1,143,13,67,7,1,25,25,143,15,25,40,-0.753327667,-0.477121255,-0.176091259,0.15,0.25,0.4,4,82
3116,1,201,13,68,7,1,25,27,27,15,25,40,-0.753327667,-0.477121255,-0.176091259,0.15,0.25,0.4,4,79
3117,1,150,13,70,7,1,25,25,150,10,15,25,-0.954242509,-0.753327667,-0.477121255,0.1,0.15,0.25,4,81
3118,1,32,13,72,8,1,25,25,32,5,20,35,-1.278753601,-0.602059991,-0.268845312,0.05,0.2,0.35,4,80
3119,1,38,13,79,8,2,25,25,38,5,10,25,-1.278753601,-0.954242509,-0.477121255,0.05,0.1,0.25,4,80
3120,1,60,13,80,8,2,25,25,60,10,20,35,-0.954242509,-0.602059991,-0.268845312,0.1,0.2,0.35,4,84
3121,1,201,13,81,9,2,25,27,27,10,20,35,-0.954242509,-0.602059991,-0.268845312,0.1,0.2,0.35,4,83
3122,1,135,13,86,9,2,25,25,135,10,20,35,-0.954242509,-0.602059991,-0.268845312,0.1,0.2,0.35,4,77
3123,1,200,13,91,10,3,25,25,200,10,25,35,-0.954242509,-0.477121255,-0.268845312,0.1,0.25,0.35,4,82
3124,1,87,14,1,1,1,5,5,87,5,5,20,-1.278753601,-1.278753601,-0.602059991,0.05,0.05,0.2,4,80
3125,1,56,14,7,1,1,5,5,56,1,1,5,-1.995635195,-1.995635195,-1.278753601,0.01,0.01,0.05,4,84
3126,1,201,14,13,2,2,5,27,27,10,15,35,-0.954242509,-0.753327667,-0.268845312,0.1,0.15,0.35,4,77
3127,1,140,14,20,2,2,5,5,140,1,1,10,-1.995635195,-1.995635195,-0.954242509,0.01,0.01,0.1,4,79
3128,1,121,14,21,3,2,5,5,121,10,10,15,-0.954242509,-0.954242509,-0.753327667,0.1,0.1,0.15,4,79
3129,1,174,14,35,4,6,22,22,174,15,20,25,-0.753327667,-0.602059991,-0.477121255,0.15,0.2,0.25,4,75
3130,1,201,14,41,5,6,22,27,27,15,20,30,-0.753327667,-0.602059991,-0.367976785,0.15,0.2,0.3,4,77
3131,1,90,14,45,5,5,22,22,90,10,20,35,-0.954242509,-0.602059991,-0.268845312,0.1,0.2,0.35,4,76
3132,1,131,14,46,5,5,22,22,131,10,15,25,-0.954242509,-0.753327667,-0.477121255,0.1,0.15,0.25,4,75
3133,1,125,14,50,5,5,22,22,125,10,15,25,-0.954242509,-0.753327667,-0.477121255,0.1,0.15,0.25,4,77
3134,1,48,14,51,6,5,22,22,48,10,10,25,-0.954242509,-0.954242509,-0.477121255,0.1,0.1,0.25,4,76
3135,1,180,14,56,6,4,22,22,180,15,15,20,-0.753327667,-0.753327667,-0.602059991,0.15,0.15,0.2,4,75
3136,1,192,14,58,6,4,22,22,192,10,15,25,-0.954242509,-0.753327667,-0.477121255,0.1,0.15,0.25,4,77
3137,1,42,14,59,6,4,22,22,42,10,10,30,-0.954242509,-0.954242509,-0.367976785,0.1,0.1,0.3,4,77
3138,1,20,14,63,7,4,22,22,20,15,25,35,-0.753327667,-0.477121255,-0.268845312,0.15,0.25,0.35,4,75
3139,1,201,14,66,7,4,22,27,27,10,20,50,-0.954242509,-0.602059991,0,0.1,0.2,0.5,4,77
3140,1,30,14,75,8,1,25,25,30,15,30,40,-0.753327667,-0.367976785,-0.176091259,0.15,0.3,0.4,4,82
3141,1,157,14,89,9,3,25,25,157,10,15,30,-0.954242509,-0.753327667,-0.367976785,0.1,0.15,0.3,4,84
3142,1,65,14,90,9,3,25,25,65,10,15,35,-0.954242509,-0.753327667,-0.268845312,0.1,0.15,0.35,4,83
3143,1,201,14,94,10,3,25,27,27,10,20,40,-0.954242509,-0.602059991,-0.176091259,0.1,0.2,0.4,4,77
3144,1,188,14,96,10,3,25,25,188,15,30,30,-0.753327667,-0.367976785,-0.367976785,0.15,0.3,0.3,4,84
3145,1,65,15,2,1,6,5,5,65,5,5,10,-1.278753601,-1.278753601,-0.954242509,0.05,0.05,0.1,4,80
3146,1,94,15,3,1,6,5,5,94,5,10,15,-1.278753601,-0.954242509,-0.753327667,0.05,0.1,0.15,4,82
3147,1,165,15,17,2,5,5,5,165,5,5,10,-1.278753601,-1.278753601,-0.954242509,0.05,0.05,0.1,4,81
3148,1,180,15,19,2,5,5,5,180,1,1,5,-1.995635195,-1.995635195,-1.278753601,0.01,0.01,0.05,4,79
3149,1,61,15,21,3,5,5,5,61,1,1,10,-1.995635195,-1.995635195,-0.954242509,0.01,0.01,0.1,4,81
3150,1,13,15,32,4,4,5,5,13,1,5,10,-1.995635195,-1.278753601,-0.954242509,0.01,0.05,0.1,4,81
3151,1,184,15,43,5,1,22,22,184,10,15,15,-0.954242509,-0.753327667,-0.753327667,0.1,0.15,0.15,4,76
3152,1,57,15,45,5,2,22,22,57,10,15,30,-0.954242509,-0.753327667,-0.367976785,0.1,0.15,0.3,4,77
3153,1,9,15,46,5,2,22,22,9,20,20,30,-0.602059991,-0.602059991,-0.367976785,0.2,0.2,0.3,4,74
3154,1,91,15,47,5,2,22,22,91,15,20,25,-0.753327667,-0.602059991,-0.477121255,0.15,0.2,0.25,4,76
3155,1,96,15,52,6,2,22,22,96,10,15,30,-0.954242509,-0.753327667,-0.367976785,0.1,0.15,0.3,4,76
3156,1,50,15,53,6,2,22,22,50,15,20,30,-0.753327667,-0.602059991,-0.367976785,0.15,0.2,0.3,4,75
3157,1,7,15,54,6,2,22,22,7,15,25,55,-0.753327667,-0.477121255,0.087150176,0.15,0.25,0.55,4,76
3158,1,201,15,55,6,2,22,27,27,10,20,30,-0.954242509,-0.602059991,-0.367976785,0.1,0.2,0.3,4,76
3159,1,169,15,58,6,3,22,22,169,10,10,25,-0.954242509,-0.954242509,-0.477121255,0.1,0.1,0.25,4,77
3160,1,175,15,59,6,3,22,22,175,15,25,35,-0.753327667,-0.477121255,-0.268845312,0.15,0.25,0.35,4,75
3161,1,122,15,61,7,3,22,22,122,10,20,30,-0.954242509,-0.602059991,-0.367976785,0.1,0.2,0.3,4,76
3162,1,163,15,66,7,3,22,22,163,10,15,25,-0.954242509,-0.753327667,-0.477121255,0.1,0.15,0.25,4,78
3163,1,202,15,68,7,6,25,27,25,5,5,15,-1.278753601,-1.278753601,-0.753327667,0.05,0.05,0.15,4,88
3164,1,193,15,69,7,6,25,25,193,15,25,35,-0.753327667,-0.477121255,-0.268845312,0.15,0.25,0.35,4,82
3165,1,168,15,73,8,6,25,25,168,1,10,15,-1.995635195,-0.954242509,-0.753327667,0.01,0.1,0.15,4,80
3166,1,8,15,74,8,6,25,25,8,20,20,30,-0.602059991,-0.602059991,-0.367976785,0.2,0.2,0.3,4,84
3167,1,151,15,75,8,6,25,25,151,25,30,35,-0.477121255,-0.367976785,-0.268845312,0.25,0.3,0.35,4,84
3168,1,155,15,94,10,4,25,25,155,10,20,30,-0.954242509,-0.602059991,-0.367976785,0.1,0.2,0.3,4,80
3169,1,22,15,99,10,4,25,25,22,1,1,5,-1.995635195,-1.995635195,-1.278753601,0.01,0.01,0.05,4,78
3170,1,109,16,9,1,6,5,5,109,1,5,5,-1.995635195,-1.278753601,-1.278753601,0.01,0.05,0.05,4,84
3171,1,29,16,14,2,5,5,5,29,5,5,10,-1.278753601,-1.278753601,-0.954242509,0.05,0.05,0.1,4,83
3172,1,137,16,16,2,5,5,5,137,1,1,1,-1.995635195,-1.995635195,-1.995635195,0.01,0.01,0.01,4,84
3173,1,147,16,20,2,5,5,5,147,5,5,10,-1.278753601,-1.278753601,-0.954242509,0.05,0.05,0.1,4,82
3174,1,172,16,22,3,5,5,5,172,1,1,5,-1.995635195,-1.995635195,-1.278753601,0.01,0.01,0.05,4,78
3175,1,109,16,23,3,4,5,5,109,10,5,20,-0.954242509,-1.278753601,-0.602059991,0.1,0.05,0.2,4,81
3176,1,73,16,34,4,1,22,22,73,5,5,25,-1.278753601,-1.278753601,-0.477121255,0.05,0.05,0.25,4,73
3177,1,136,16,35,4,1,22,22,136,15,20,25,-0.753327667,-0.602059991,-0.477121255,0.15,0.2,0.25,4,81
3178,1,197,16,36,4,1,22,22,197,15,20,25,-0.753327667,-0.602059991,-0.477121255,0.15,0.2,0.25,4,77
3179,1,65,16,38,4,1,22,22,65,10,20,30,-0.954242509,-0.602059991,-0.367976785,0.1,0.2,0.3,4,76
3180,1,64,16,39,4,1,22,22,64,10,15,20,-0.954242509,-0.753327667,-0.602059991,0.1,0.15,0.2,4,76
3181,1,130,16,42,5,1,22,22,130,5,15,20,-1.278753601,-0.753327667,-0.602059991,0.05,0.15,0.2,4,76
3182,1,173,16,45,5,2,22,22,173,15,20,30,-0.753327667,-0.602059991,-0.367976785,0.15,0.2,0.3,4,76
3183,1,138,16,46,5,2,22,22,138,5,15,25,-1.278753601,-0.753327667,-0.477121255,0.05,0.15,0.25,4,73
3184,1,77,16,47,5,2,22,22,77,10,15,20,-0.954242509,-0.753327667,-0.602059991,0.1,0.15,0.2,4,74
3185,1,116,16,55,6,2,22,22,116,15,20,35,-0.753327667,-0.602059991,-0.268845312,0.15,0.2,0.35,4,77
3186,1,201,16,56,6,3,22,27,27,10,15,40,-0.954242509,-0.753327667,-0.176091259,0.1,0.15,0.4,4,77
3187,1,19,16,57,6,3,22,22,19,15,25,40,-0.753327667,-0.477121255,-0.176091259,0.15,0.25,0.4,4,75
3188,1,72,16,58,6,3,22,22,72,10,15,30,-0.954242509,-0.753327667,-0.367976785,0.1,0.15,0.3,4,73
3189,1,29,16,64,7,3,22,22,29,15,20,30,-0.753327667,-0.602059991,-0.367976785,0.15,0.2,0.3,4,77
3190,1,164,16,66,7,3,22,22,164,25,30,40,-0.477121255,-0.367976785,-0.176091259,0.25,0.3,0.4,4,79
3191,1,28,16,70,7,6,25,25,28,10,10,30,-0.954242509,-0.954242509,-0.367976785,0.1,0.1,0.3,4,79
3192,1,199,16,76,8,6,25,25,199,5,10,20,-1.278753601,-0.954242509,-0.602059991,0.05,0.1,0.2,4,82
3193,1,7,16,78,8,5,25,25,7,10,10,25,-0.954242509,-0.954242509,-0.477121255,0.1,0.1,0.25,4,83
3194,1,116,16,83,9,5,25,25,116,10,15,30,-0.954242509,-0.753327667,-0.367976785,0.1,0.15,0.3,4,82
3195,1,86,16,92,10,4,25,25,86,5,15,30,-1.278753601,-0.753327667,-0.367976785,0.05,0.15,0.3,4,83
3196,1,61,16,93,10,4,25,25,61,10,10,25,-0.954242509,-0.954242509,-0.477121255,0.1,0.1,0.25,4,77
3197,1,177,16,99,10,4,25,25,177,15,20,35,-0.753327667,-0.602059991,-0.268845312,0.15,0.2,0.35,4,84
3198,1,152,17,7,1,1,13,13,152,1,1,1,-1.995635195,-1.995635195,-1.995635195,0.01,0.01,0.01,4,83
3199,1,59,17,9,1,1,13,13,59,5,5,15,-1.278753601,-1.278753601,-0.753327667,0.05,0.05,0.15,4,80
3200,1,20,17,17,2,2,13,13,20,5,5,15,-1.278753601,-1.278753601,-0.753327667,0.05,0.05,0.15,4,84
3201,1,111,17,18,2,2,13,13,111,1,5,5,-1.995635195,-1.278753601,-1.278753601,0.01,0.05,0.05,4,80
3202,1,173,17,22,3,2,13,13,173,5,5,20,-1.278753601,-1.278753601,-0.602059991,0.05,0.05,0.2,4,84
3203,1,119,17,29,3,3,13,13,119,10,10,20,-0.954242509,-0.954242509,-0.602059991,0.1,0.1,0.2,4,80
3204,1,34,17,32,4,3,13,13,34,1,1,5,-1.995635195,-1.995635195,-1.278753601,0.01,0.01,0.05,4,79
3205,1,5,17,34,4,6,8,8,5,5,1,5,-1.278753601,-1.995635195,-1.278753601,0.05,0.01,0.05,4,89
3206,1,13,17,35,4,6,8,8,13,5,5,15,-1.278753601,-1.278753601,-0.753327667,0.05,0.05,0.15,4,84
3207,1,90,17,36,4,6,8,8,90,8,10,25,-1.06069784,-0.954242509,-0.477121255,0.08,0.1,0.25,4,83
3208,1,175,17,47,5,5,8,8,175,3,1,10,-1.50965048,-1.995635195,-0.954242509,0.03,0.01,0.1,4,89
3209,1,60,17,48,5,5,8,8,60,10,10,15,-0.954242509,-0.954242509,-0.753327667,0.1,0.1,0.15,4,83
3210,1,103,17,49,5,5,8,8,103,7,10,10,-1.123384909,-0.954242509,-0.954242509,0.07,0.1,0.1,4,87
3211,1,145,17,51,6,5,8,8,145,7,10,20,-1.123384909,-0.954242509,-0.602059991,0.07,0.1,0.2,4,83
3212,1,138,17,53,6,5,8,8,138,7,15,20,-1.123384909,-0.753327667,-0.602059991,0.07,0.15,0.2,4,85
3213,1,74,17,54,6,5,8,8,74,5,5,10,-1.278753601,-1.278753601,-0.954242509,0.05,0.05,0.1,4,84
3214,1,104,17,58,6,4,8,8,104,5,5,15,-1.278753601,-1.278753601,-0.753327667,0.05,0.05,0.15,4,89
3215,1,73,17,59,6,4,8,8,73,3,5,25,-1.50965048,-1.278753601,-0.477121255,0.03,0.05,0.25,4,83
3216,1,10,17,62,7,4,8,8,10,25,25,45,-0.477121255,-0.477121255,-0.087150176,0.25,0.25,0.45,4,84
3217,1,98,17,65,7,4,8,8,98,5,5,10,-1.278753601,-1.278753601,-0.954242509,0.05,0.05,0.1,4,88
3218,1,91,17,66,7,4,8,8,91,3,5,1,-1.50965048,-1.278753601,-1.995635195,0.03,0.05,0.01,4,89
3219,1,180,17,68,7,1,1,1,180,10,15,35,-0.954242509,-0.753327667,-0.268845312,0.1,0.15,0.35,4,79
3220,1,7,17,69,7,1,1,1,7,5,10,20,-1.278753601,-0.954242509,-0.602059991,0.05,0.1,0.2,4,77
3221,1,181,17,70,7,1,1,1,181,20,30,40,-0.602059991,-0.367976785,-0.176091259,0.2,0.3,0.4,4,82
3222,1,121,17,71,8,1,1,1,121,15,25,30,-0.753327667,-0.477121255,-0.367976785,0.15,0.25,0.3,4,78
